code,libelle,type,code_dren,lib_dren
054655,COLLEGE PRIVE GLORIS 2 DE YOPOUGON TOITS ROUGES,PRIVE,40,ABIDJAN 3
054657,COLLEGE PRIVE RAMAT DE YOPOUGON-NIANGON ADJAME,PRIVE,40,ABIDJAN 3
054658,COLLEGE PRIVE YVE PHILIPPE DE YOPOUGON CITE ADO,PRIVE,40,ABIDJAN 3
054659,GROUPE SCOLAIRE LE KRAZAN DE YOPOUGON SELMER,PRIVE,40,ABIDJAN 3
054661,COLLEGE PRIVE AN-NOUR D'ABOBO AGNISSANKOI,PRIVE,41,ABIDJAN 4
054707,COLLEGE PRIVE LES PRINCES D'ABIDJAN AKEIKOI,PRIVE,41,ABIDJAN 4
056551,INSTITUT ADAM MARSHALL ABOBO,PRIVE,41,ABIDJAN 4
056637,COLLEGE KOFFI HOURA D'ABADJIN-DOUME,PRIVE,40,ABIDJAN 3
056648,"ECOLE TECHNIQUE, INFORMATIQUE ET COMMERCIALE YOPOUGON
(ETIC-YOP SELMER)",PRIVE,40,ABIDJAN 3
057938,COLLEGE PRIVE AKANJI,PRIVE,12,ABIDJAN 1
057948,COLLEGE PRIVE SALEM DE SONGON SAPH,PRIVE,40,ABIDJAN 3
057949,COLLEGE PRIVE SAMBA KONE,PRIVE,40,ABIDJAN 3
057951,COLLEGE PRIVE SHILO,PRIVE,40,ABIDJAN 3
057952,COLLEGE PRIVE D'EXCELLENCE AL-MOUSTAPHA,PRIVE,41,ABIDJAN 4
058136,COLLEGE PRIVE TECHNIQUE DJEKAT,PRIVE,12,ABIDJAN 1
058139,ECOLE DES ETUDES COMMERCIALES ET ECONOMIQUES,PRIVE,12,ABIDJAN 1
058140,GROUPE SCOLAIRE IFORAS,PRIVE,12,ABIDJAN 1
058141,ONYX-EXCELLENCE PLATEAU,PRIVE,12,ABIDJAN 1
058142,COLLEGE PRIVE TECHNIQUE IFSM DE KOUMASSI,PRIVE,31,ABIDJAN 2
058144,"COLLEGE PRIVE PROFESSIONNEL ELITE TECHNOLOGIE DE
NIANGON",PRIVE,40,ABIDJAN 3
058145,COLLEGE PRIVE TECHNIQUE ANADOR YOPOUGON,PRIVE,40,ABIDJAN 3
058148,COLLEGE PRIVE TECHNIQUE IFSM DE ABOBO,PRIVE,41,ABIDJAN 4
058176,FONDATION MAARIF DE TURQUIE,PRIVE,12,ABIDJAN 1
058195,COLLEGE FOUSSENI KONE ( CFK),PRIVE,41,ABIDJAN 4
058207,LYCEE MODERNE ALFRED NOBEL MARCORY,,,
058210,INSTITUT DE FORMATION LA ROUAH ABOBO-AKEIKOI,,,
058220,INSTITUT DE FORMATION ET DE RECYCLAGE DES AUXILIAIRES DE SERVICE (IFORAS) COCODY,,,
058714,CBCG TREICHVILLE,,,
058715,LYCEE PROFESSIONNEL C YOPOUGON,,,
058720,CBCG COCODY,,,
058726,CELIA TREICHVILLE,,,
058751,CMFP MOHAMED VI YOPOUGON,,,
058752,CPTI YOPOUGON,,,
058753,GROUPE SCOLAIRE PIERRE ET MARIE CURIE PORT-BOUET,,,
058758,ITSP ADJAME,,,
058768,INSTITUT POLYTECHNIQUE ET HOTELIER D'ABIDJAN,,,
058770,CPM BOIS KOUMASSI,,,
058771,CENTRE DE FORMATION PROFESSIONNELLE AUX METIERS DE LA MECANIQUE INDUSTRIELLE(CFPMMI),,,
058775,INSTITUT DE MANAGEMENT ET D'ETUDES APPLIQUEES (ISMA) MDDS,,,
058788,CENTRE DE SPECIALISATION EN TECHNIQUES COMMERCIALES,,,
058792,ESTC MARCORY,,,
058804,IST LA COLOMBE KOUMASSI,,,
058805,I.S.T. ADAMA SANOGO ABOBO,,,
058807,ISGEA PLATEAU,,,
058813,GROUPE SCOLAIRE SANOGO ALMAMY YOPOUGON,,,
058817,GROUPE INSTITUT TECHNIQUE INDUSTRIEL ET COMMERCIAL(GITIC) COCODY,,,
058824,ISTG PIERRE MARIE YOPOUGON,,,
058825,ASSOCIATION IVOIRIENNE POUR LA FORMATION, L'EDUCATION ET LE BIEN-ETRE SOCIAL (AIFES) ABOBO,,,
058826,CENTRE DE FORMATION FEMININE SOEURS DE LA PROVIDENCE DE SAINT GAETAN,,,
058827,GROUPE SCOLAIRE LE PARTHENON ABOBO,,,
058829,IFPG PLATEAU,,,
058831,E.I.F.P MICHELE YAKICE COCODY,,,
058833,CENTRE HORLOGER D'ABIDJAN,,,
058837,LE SAMARITAIN COCODY,,,
058840,CFPT CARINE N' ADJAME,,,
058844,CESTP KIBIO COCODY,,,
058846,INST. INTERNATIONAL ADJELEBA YOPOUGON,,,
058849,INSTITUT DE FORMATION SAINTE MARIE (IFSM) D'ABOBO,,,
058852,GROUPE SCOLAIRE LE BON SAMARITAIN KOUMASSI,,,
058853,CETPMER ADJAME,,,
058859,CENTRE DE PROMOTION FEMININE MARIE DOMINIQUE,,,
058868,INSTITUT POLYTECHNIQUE INTERNATIONALE FRANCOIS IPIF,,,
058869,EIBMA MARCORY,,,
058874,ISSEA ABIDJAN,,,
058875,CPM BATIMENT KOUMASSI,,,
058876,ISTA ABOBO,,,
058891,CSTG ADJAME,,,
058894,ETIC COCODY,,,
058900,NICK COUTURE,,,
058901,ECOLE DE FORMATION PROFESSIONNELLE YARANI,,,
058903,HAUTES ETUDES TECHNOLOGIQUES ET COMMERCIALES,,,
058907,COURS FIGARO COUTURE,,,
058908,ESCAM COCODY,,,
058916,C. S. T. SAINTE THERESE KOUMASSI,,,
058917,CPME BIMBRESSO,,,
058918,INSTITUT INTERNATIONAL INDUSTRIEL & COMMERCIAL,,,
058919,CPM IMPRIMERIE YOPOUGON,,,
058921,CETI MARCORY,,,
058923,INSTITUT VOLTAIRE (IVESTP),,,
058924,ECOLE POLYVALENTE DU MAGHREB EN C.I (EPMACI),PRIVE,12,ABIDJAN 1
058926,IMGH YOPOUGON,,,
058937,ENIC FORMATION YOPOUGON,,,
058948,REFLEX INSTITUT,,,
058949,ITES II PLATEAUX,,,
058950,ACADEMIE DE LA SECURITE PROFESSIONNELLE (ASP),,,
058951,CEP PORT-BOUET,,,
058953,CEPTI - CESTIA 2EP,,,
058957,COLLEGE MODERNE TECHNIQUE NOGOLAMA ANYAMA,,,
058975,INSTITUT DE FORMATION SAINTE MARIE (IFSM) D'ANGRE,,,
058976,CETPA - CESTIA 2EP,,,
058977,INST. SCOL. SAINT CYRILLE YOPOUGON,,,
058978,C. E. T. F. NOTRE DAME DE LA PAIX,,,
058981,ALBI 2 PLATEAUX,,,
058985,ISTEA PLATEAU,,,
058988,CPM AUTOMOBILE VRIDI,,,
058989,INSTITUT TECHNIQUE ET PROFESSIONNEL (I.T.P.) CERIN YOPOUGON,,,
058993,CPMME KOUMASSI,,,
059001,INSTITUT TECHNIQUE DE FORMATION SAINTE MARIE KOUMASSI,,,
059002,COLLEGE MOD. LA SORBONNE YOPOUGON,,,
059006,CENTRE DE FORMATION COMMERCIALE ET DES ACTIVITES PROFESSIONNELLES (CFCAP)-FORMATION ABOBO,,,
059007,E.S.ICA.M COCODY,,,
059008,CETC TREICHVILLE,,,
059010,ISCC TREICHVILLE,,,
059012,INSTITUT DE FORMATION LA SOURCE,,,
059013,GROUPE IVOIRE ACADEMIE COCODY,,,
059014,IFSM COCODY,,,
059015,CESGT KOUMASSI,,,
059016,INSTITUT PROFESSIONNEL DE SECURITE,,,
059018,INSTITUT DE FORMATION SAINTE MARIE (IFSM) DE KOUMASSI,,,
059019,GROUPE SCOLAIRE SAINT CYR KOUMASSI,,,
059020,GROUPE SCOLAIRE DES ARTS ET DES METIERS KOUMASSI,,,
059022,GROUPE IFDEC-INTERNATIONAL ABOBO,PRIVE,41,ABIDJAN 4
059023,ETABLISSEMENT BEINAN DES METIERS DE LA BOUCHE ET DE L'HOTELLERIE,,,
059024,SECURITY ACADEMY ET MANAGEMENT,,,
059025,ITA MARCORY,,,
059026,INSTITUT ASSAMOI DESIGN CENTRE DE FORMATION PROFESSIONNELLE ET DE PERFECTIONNEMENT,,,
059029,GROUPEMENT POUR LES TRAVAUX ET LA FORMATION FERROVIAIRE (GTF) PLATEAU,,,
059031,ISCC COCODY,,,
059032,ECOLE HOTELIERE HAMANIEH MARCORY,,,
059035,ETIC MARCORY,,,
059038,GROUPE SCOLAIRE ANDRE MALRAUX COCODY,,,
059040,COURS ET CABINET TRAORE TIDIANE,,,
059044,CENTRE DE FORMATION DAL'INE COUTURE,,,
059046,GROUPE ECOLE SUPERIEURE AFRICAINE DE COMMERCE(ESACOM-SARL),,,
059047,AMERICAN LADY BEAUTY INSTITUT 2 (ALBI 2) MARCORY,,,
059049,ACADEMIE INTERNATIONALE DE L'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL(AIETP),,,
059050,GROUPE IFPG-ISFPT,,,
059052,INSTITUT SCOLAIRE PRIVE MALACHIE,,,
059054,ISIE ADJAME,,,
059055,GROUPE SCOLAIRE SAINTE ADJOUA FADETTE YOPOUGON,,,
059056,ESETP YOPOUGON,,,
059058,CSNDP PLATEAU,,,
059059,INAMAZ,,,
